SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
VIDARBHA,1901,9.8,1.7,19.5,26.3,0.0,93.4,268.9,201.0,149.2,29.4,25.6,9.9,834.7
VIDARBHA,1902,8.7,19.3,17.1,5.2,26.2,117.6,329.9,224.1,145.6,36.4,30.2,5.4,965.7
VIDARBHA,1903,5.9,7.7,18.0,20.2,27.3,197.7,424.1,207.6,132.6,33.6,23.2,12.0,1109.9
VIDARBHA,1904,7.8,3.9,4.5,23.7,32.3,204.7,228.9,247.0,164.7,64.8,26.3,7.5,1016.1
VIDARBHA,1905,12.4,11.0,15.4,23.3,0.0,154.9,238.9,191.6,143.0,102.3,5.3,11.1,909.2
VIDARBHA,1906,0.0,7.5,13.8,22.3,31.0,211.4,240.0,196.0,195.4,50.2,0.0,0.4,968.0
VIDARBHA,1907,2.3,13.8,13.2,23.0,13.3,170.9,299.4,197.7,170.3,34.2,10.4,4.0,952.5
VIDARBHA,1908,0.5,13.4,6.8,14.5,26.3,182.1,294.8,204.1,122.0,50.1,0.0,0.0,914.6
VIDARBHA,1909,0.0,1.4,15.3,3.2,13.1,226.7,219.6,251.2,94.4,45.6,2.7,3.9,877.1
VIDARBHA,1910,12.6,0.0,15.7,17.0,10.0,76.5,250.9,176.2,153.4,52.7,33.4,4.5,802.9
VIDARBHA,1911,1.6,11.1,13.8,30.8,31.9,179.3,354.0,141.5,113.1,25.4,9.8,0.0,912.3
VIDARBHA,1912,11.8,8.2,0.0,2.8,24.7,211.1,399.8,394.8,170.7,25.3,0.0,7.3,1256.5
VIDARBHA,1913,3.4,7.0,6.3,13.8,36.6,179.0,257.3,165.0,71.1,42.2,14.8,15.0,811.5
VIDARBHA,1914,9.2,18.4,7.7,1.6,6.6,134.1,423.2,182.7,200.1,30.9,27.0,8.3,1049.8
VIDARBHA,1915,7.5,10.3,6.2,21.2,14.4,107.4,186.0,243.4,237.9,63.1,14.5,7.8,919.7
VIDARBHA,1916,16.2,12.2,8.4,29.0,27.3,256.9,284.6,156.5,88.4,107.0,36.4,5.4,1028.3
VIDARBHA,1917,5.8,21.9,1.1,4.5,30.0,146.1,264.0,213.9,169.4,98.2,16.3,9.3,980.5
VIDARBHA,1918,0.0,9.4,3.4,0.1,6.5,143.8,319.7,136.7,149.0,39.5,10.8,10.9,829.8
VIDARBHA,1919,10.9,20.2,9.9,6.0,15.7,170.9,260.6,145.0,147.7,59.4,44.5,15.1,905.9
VIDARBHA,1920,2.4,7.1,0.0,7.0,23.5,221.5,193.5,167.7,33.7,46.9,1.4,3.0,707.7
VIDARBHA,1921,2.3,8.7,0.0,0.0,50.8,85.2,169.0,318.2,287.1,16.9,9.8,7.4,955.4
VIDARBHA,1922,18.1,1.8,9.2,23.8,25.9,139.0,242.2,130.4,133.2,45.2,17.3,3.0,789.1
VIDARBHA,1923,10.8,18.1,13.6,19.2,20.8,165.0,209.5,239.0,145.1,117.8,33.9,7.9,1000.7
VIDARBHA,1924,3.7,1.4,24.3,18.6,27.9,74.4,333.4,254.4,99.3,42.6,18.7,6.5,905.2
VIDARBHA,1925,6.7,9.7,10.1,17.6,43.2,32.8,257.6,242.6,173.0,46.8,0.0,8.0,848.1
VIDARBHA,1926,18.8,0.0,21.4,11.9,20.3,116.9,252.0,311.1,188.0,110.2,30.0,8.6,1089.2
VIDARBHA,1927,18.8,14.0,20.8,12.1,21.9,134.1,341.1,159.3,195.9,51.8,29.7,10.0,1009.5
VIDARBHA,1928,19.1,16.0,0.0,14.5,2.8,139.3,370.2,262.0,117.6,25.5,15.6,0.0,982.6
VIDARBHA,1929,3.8,12.3,23.4,22.1,0.0,179.0,260.6,241.1,228.3,0.0,7.7,8.9,987.2
VIDARBHA,1930,0.0,21.4,15.1,24.5,10.5,202.3,323.0,224.0,154.9,60.6,4.0,5.0,1045.3
VIDARBHA,1931,6.6,12.5,21.3,1.4,16.9,236.7,192.5,157.6,151.2,77.1,14.2,12.3,900.3
VIDARBHA,1932,12.7,16.2,16.9,42.1,15.8,45.8,358.1,180.5,147.2,91.3,0.0,0.0,926.6
VIDARBHA,1933,0.0,3.3,16.0,20.8,23.5,81.9,89.9,216.1,121.5,67.0,22.9,6.5,669.4
VIDARBHA,1934,12.6,11.8,17.3,6.5,17.3,175.8,317.4,196.4,176.1,47.0,13.6,10.1,1001.9
VIDARBHA,1935,0.0,0.0,0.0,0.0,10.5,211.6,248.5,239.0,209.3,96.6,14.7,13.0,1043.2
VIDARBHA,1936,9.0,3.8,6.7,0.0,7.8,154.3,330.4,335.3,89.1,69.8,3.3,8.7,1018.2
VIDARBHA,1937,7.7,0.0,22.0,8.6,13.2,116.0,229.6,258.7,149.4,68.1,20.2,13.0,906.5
VIDARBHA,1938,6.3,0.0,23.2,11.7,37.6,193.6,262.6,250.9,254.4,119.8,16.5,7.1,1183.7
VIDARBHA,1939,14.6,3.4,15.5,14.9,25.0,122.0,153.1,99.3,96.7,42.2,11.7,15.8,614.2
VIDARBHA,1940,14.5,2.1,15.3,9.9,15.4,172.4,298.9,195.9,200.7,19.8,14.8,18.9,978.6
VIDARBHA,1941,9.0,21.0,12.4,21.3,18.2,148.1,193.6,235.8,100.6,72.5,27.3,7.6,867.4
VIDARBHA,1942,5.8,13.0,8.2,25.3,0.0,136.7,105.2,117.2,209.3,78.6,5.5,0.0,704.8
VIDARBHA,1943,0.0,5.1,35.5,19.4,10.5,181.6,136.5,190.2,146.8,49.4,23.7,7.4,806.1
VIDARBHA,1944,11.8,4.2,20.6,34.1,4.8,110.8,345.1,201.4,215.3,39.9,32.0,6.5,1026.5
VIDARBHA,1945,9.5,22.5,8.4,3.7,13.3,189.9,150.4,258.2,123.1,89.4,0.0,2.1,870.5
VIDARBHA,1946,0.0,3.7,14.9,13.3,16.8,161.6,282.7,166.6,190.2,76.7,20.1,9.0,955.6
VIDARBHA,1947,10.2,26.8,11.8,12.1,9.8,117.2,187.1,178.7,154.7,68.0,16.4,2.5,795.3
